ID,Tipo,Descricao,PrecoVenda,CustoProducao
produto2,tipop14,"Etiquetas de roupa (termocolante) - 2x7,6cm com 30 unidades","29,90","10,50"
produto3,tipop14,"Etiquetas de roupa (termocolante) - 2x7,6cm com 10 unidades","26,90","7,50"
produto4,tipop3,Agenda Escolar A5 não datada,80,30
produto5,tipop2,Agenda Escolar A6 não datada,40,15
produto6,tipop3,Agenda A5 com 2 dias por pagina,"80,00","30,00"
produto7,tipop16,Logotipo impresso em 3D largura 400mm altura 200mm espessura 15mm,"160,00","80,00"
produto8,tipop3,informatica,12312312,3123123

